,tsne_dim_1,tsne_dim_2
104,191.05516,-128.50491
105,-224.53925,5.44009
106,-92.35479,-36.227177
107,9.37815,-81.95144
108,36.24094,9.300714
109,176.44514,-52.004036
110,-35.600353,177.47838
111,-231.60628,-108.234856
112,58.49789,-198.35031
113,-160.09357,-122.51822
114,144.31589,-116.73838
115,-271.9137,77.59643
116,-112.13946,-52.25263
117,-165.8046,-91.85232
118,-84.39394,123.099174
119,148.45781,64.89288
120,-286.15897,5.698569
121,-138.23256,187.3074
122,182.51506,-124.91285
123,299.84003,-27.471684
124,107.90663,80.463554
125,-100.60686,79.40762
126,-239.55716,-50.544254
127,17.182423,298.3685
128,48.19871,166.77005
129,38.442192,-104.032005
130,-61.993553,164.14903
131,-262.93268,-56.569477
132,129.8237,122.312485
133,-98.18377,-0.0074373535
134,205.4297,-83.71708
135,-220.75804,-144.27243
136,-181.13834,-160.6123
137,-22.890692,19.937164
138,351.58145,-120.860214
139,54.561203,35.129757
140,235.31113,113.39379
141,129.93158,-146.07324
142,-213.7414,-30.282864
143,399.9162,-126.08967
144,-110.23602,-92.60615
145,183.8101,-88.33693
146,-178.9329,-81.28129
147,-44.9577,-22.229935
148,-105.3803,169.4165
149,-0.26470637,-85.288506
150,-101.82043,129.64944
151,243.28857,36.731384
152,-236.33522,-83.17233
153,-18.830393,191.2419
154,-58.12087,-75.02595
155,-11.658006,111.12624
156,360.52106,-90.80283
157,-276.70984,39.558804
158,268.11172,79.10442
159,-26.987005,-6.393168
160,164.30367,20.423828
161,212.10542,-84.03969
162,-75.728325,-160.41995
163,-2.6289477,-115.05578
164,-99.033615,-157.89993
165,376.44308,-75.93758
166,-68.43569,7.818584
167,-161.22281,-67.8395
168,-144.9321,-61.27965
169,-1.1545283,109.82848
170,189.49506,-34.24481
171,-99.32009,-164.08974
172,-66.51064,191.68802
173,12.104678,-120.97221
174,-234.86713,39.53232
175,219.29863,-126.36478
176,-175.2893,63.97616
177,-122.30169,48.85292
178,-8.978127,302.9352
179,-221.43472,58.85563
180,-44.353523,245.99663
181,-259.73453,-57.570343
182,29.161888,162.02765
183,-105.09315,-170.86287
184,351.75485,-134.72478
185,41.82328,0.66052467
186,-74.69906,-168.64742
187,73.54608,61.423134
188,-12.746289,186.47556
189,156.73006,50.247383
190,51.09045,37.30312
191,-55.888847,-78.88817
192,112.81337,-96.23983
193,-18.103865,197.05252
194,-169.92007,-15.6364355
195,-35.527004,257.25858
196,55.069572,78.376114
197,187.1747,11.481146
198,-36.37942,180.68208
199,-67.98812,-58.85944
200,-140.7885,27.369444
201,184.11166,51.022675
202,-129.11748,-39.352276
203,-209.8377,-0.9362761
204,164.90886,100.83811
205,-212.03993,-32.952995
206,174.80424,-37.942383
207,138.5067,-115.36512
208,-31.07123,18.846775
209,102.05272,26.292326
210,-129.45906,87.95077
211,138.58899,-148.5863
212,119.64353,107.715935
213,-213.32582,-103.454926
214,154.14606,-148.99532
215,-272.1231,77.89993
216,-238.87924,-131.97563
217,-88.4185,-78.29847
218,0.4804332,297.76843
219,-206.20189,115.532394
220,61.1018,62.020687
221,13.205528,-110.18801
222,329.29446,-90.13874
223,-235.80876,-117.99602
224,54.75278,-180.79543
225,147.6004,-126.69854
226,75.33289,84.04781
227,270.18375,111.73282
228,-7.286581,119.28945
229,-39.00538,190.32973
230,-53.782562,-80.75762
231,-181.6302,131.541
232,-69.35077,-23.169132
233,-134.58823,159.68095
234,75.99132,-53.327946
235,216.01816,9.796492
236,199.32982,-137.41817
237,-259.11288,-45.571457
238,-222.01688,70.310165
239,213.31638,-60.539448
240,-200.16869,-114.772896
241,-189.03941,130.45593
242,-251.15457,-102.25597
243,308.8237,-85.60536
244,89.781876,-86.95341
245,-87.90207,-108.34373
246,18.132837,-9.792201
247,253.76642,80.87114
248,74.73409,4.0486145
249,-124.38988,12.959232
250,-157.0203,-199.64867
251,-102.14312,-81.16449
252,108.63676,-26.932226
253,147.7948,-2.1563008
254,30.442743,316.03424
255,69.324165,98.45713
256,-212.93712,-16.861242
257,-47.601986,-27.08907
258,87.56267,-66.15097
259,-247.4435,50.618797
260,266.7637,107.60031
261,-126.2155,68.86268
262,-228.00687,-97.4441
263,174.2767,-93.441444
264,-112.85692,-99.21644
265,-141.0817,-79.04939
266,-79.363434,39.701897
267,29.901377,318.31122
268,251.05388,-42.230026
269,53.57804,334.28003
270,-70.36145,213.87079
271,-38.99197,273.4608
272,-79.042206,102.72582
273,-188.35999,98.07526
274,-65.730484,20.584312
275,5.64198,221.55135
276,95.86708,95.936905
277,-102.25891,218.38162
278,416.5115,-88.41508
279,-271.96436,75.70142
280,143.70845,-130.67703
281,-8.371533,-37.028397
282,-92.33053,64.880806
283,198.20856,-97.797066
284,113.11724,43.03229
285,-120.38576,-153.91432
286,-171.77036,157.1845
287,-182.3625,65.04925
288,41.087345,-75.75326
289,1.4840232,119.827866
290,81.905594,48.38598
291,54.410004,110.23733
292,93.17364,39.807484
293,292.02652,-87.63244
294,-10.994983,237.8886
295,-39.604485,-125.298706
296,327.43793,-90.64894
297,25.631742,209.18858
298,410.7326,-108.86831
299,-16.304382,148.75923
300,333.14392,-137.5818
301,-101.99238,-25.889505
302,218.0305,-10.719154
303,301.37482,-11.195252
304,40.706085,150.6647
305,314.39777,-25.282747
306,-221.351,-2.5441072
307,-77.660255,-25.188202
308,-257.01257,-63.159996
309,-210.44363,-23.000784
310,-102.0548,-68.33195
311,336.84647,-115.45714
312,-169.30994,-63.72465
313,229.3186,-14.461121
314,295.01526,-66.66857
315,-7.2949715,240.66708
316,200.40385,-37.83479
317,-144.31259,116.011406
318,-275.95395,98.430695
319,-101.94337,214.89314
320,164.04109,-155.50186
321,-57.1037,-92.24836
322,-81.71859,149.13261
323,172.91876,69.48514
324,-168.35764,4.876992
325,-11.205471,192.48201
326,-114.51656,-116.847015
327,59.197655,-15.48544
328,303.3394,-11.78164
329,244.0063,102.12527
330,-101.01785,215.25412
331,-142.14557,135.50087
332,-42.562534,268.8405
333,184.96593,-67.34932
334,-164.27835,2.1108139
335,89.60964,-7.012094
336,-155.74359,-152.4431
337,-28.42608,-122.38945
338,-52.742424,84.29518
339,-190.81297,-125.36441
340,6.277362,211.74486
341,175.65755,22.46089
342,-60.10532,-45.3673
343,316.6126,-97.81557
344,118.356606,88.53786
345,-45.079357,233.41537
346,-5.112925,302.94147
347,188.07059,61.012142
348,-203.20076,80.56832
349,264.47858,-70.1295
350,-236.82458,-101.79293
351,260.398,82.62871
352,-82.79483,-96.69434
353,-35.42023,-60.619896
354,20.924717,-49.203655
355,-69.146324,43.322422
356,153.50294,-107.425026
357,-151.90994,123.16958
358,60.56393,-181.55359
359,217.78299,-133.6034
360,47.527157,-104.64248
361,-182.00133,-21.580872
362,-238.89023,-102.385895
363,191.87727,-4.101626
364,-127.59586,56.779648
365,-99.05116,153.84612
366,108.51661,73.20036
367,-180.88815,179.08345
368,-5.724011,-93.820335
369,280.2822,114.00252
370,296.4556,-73.57678
371,-139.41249,14.138591
372,-133.48528,-162.58495
373,356.8913,-131.77144
374,-62.040764,181.18277
375,-169.92023,-93.57585
376,218.32878,-123.87997
377,-244.01715,44.56406
378,105.1778,80.9233
379,5.6529527,221.55792
380,-217.20973,-146.03851
381,31.418125,-54.308613
382,-174.83618,186.10985
