,tsne_dim_1,tsne_dim_2
113,29.497526,-179.16187
114,-150.89906,-126.27286
115,-216.64128,-56.246548
116,20.905394,-146.77376
117,-51.919193,-198.11606
118,85.304375,25.256752
119,66.91297,-184.84865
120,-66.81288,53.138454
121,-170.84789,78.92437
122,264.64874,-133.76431
123,122.281654,-25.439814
124,174.51596,-91.263115
125,-151.02437,-136.372
126,-222.30174,27.104641
127,48.782543,-210.63385
128,329.4336,-101.20212
129,118.49897,-157.58578
130,189.60078,55.96874
131,90.46729,37.555885
132,-69.6449,154.33109
133,-128.75699,30.456583
134,253.20772,-82.14972
135,-35.244316,-19.570442
136,-110.94339,-211.97485
137,13.113122,202.27304
138,-204.55733,-48.08416
139,281.01523,-92.3416
140,-46.157036,-229.02669
141,209.09688,-82.714485
142,197.95697,-113.08801
143,-282.24155,21.102758
144,-200.86331,199.2122
145,196.14397,-136.05237
146,130.08029,150.00656
147,-24.569653,227.04553
148,-208.3013,129.7893
149,66.027336,-48.53286
150,-173.4734,87.2026
151,302.88995,-144.46674
152,334.27884,-66.78365
153,-135.9014,-157.9525
154,139.09561,-25.082315
155,20.149294,-80.44833
156,-162.4566,48.01741
157,195.44246,-72.86244
158,-202.97104,74.97236
159,-45.781086,12.202355
160,93.28377,-213.96425
161,346.0687,-86.72858
162,164.35303,-56.976353
163,140.9266,-24.463823
164,-59.694828,70.85718
165,-274.82642,66.95479
166,-23.76172,-227.96896
167,248.54785,-0.6192476
168,263.09445,-62.180504
169,-140.80008,83.353226
170,168.9301,-91.77927
171,149.59006,112.05016
172,209.77904,94.41593
173,71.09155,136.77956
174,30.901333,133.94986
175,83.36928,110.42239
176,12.106014,-19.434877
177,-23.62779,-107.52772
178,240.57462,-161.47389
179,-21.037361,-101.70445
180,-100.82352,-216.57385
181,102.24555,54.03882
182,-61.41456,99.40774
183,-31.471682,-108.55934
184,-268.19135,-57.968266
185,204.28773,-45.734444
186,-43.780373,192.03734
187,137.65172,-9.165186
188,260.1886,-135.13246
